word,count
the,6829
and,5266
of,3515
to,3515
a,1979
i,1909
he,1877
in,1862
you,1846
for,1357
his,1342
as,1284
that,1276
it,1240
with,1199
him,1070
was,1063
they,961
is,939
me,913
on,908
had,889
”,878
have,872
all,860
but,849
my,816
them,787
not,768
will,727
so,697
her,672
when,639
your,635
from,629
this,628
she,626
who,619
are,592
ulysses,587
at,585
one,560
be,548
then,543
by,539
we,523
were,519
their,493
said,483
or,442
which,412
house,411
about,407
there,406
no,383
would,381
do,379
out,362
up,331
has,330
men,323
man,319
been,319
us,310
went,301
if,291
now,290
into,286
own,284
come,281
some,279
did,274
go,272
what,272
upon,268
son,268
tell,261
see,255
can,254
may,250
here,249
telemachus,247
suitors,244
over,240
home,238
should,236
any,233
an,232
made,220
ship,219
could,218
shall,214
down,214
came,211
sea,209
other,206
our,206
good,205
much,204
back,202
am,200
let,200
take,199
where,197
off,196
father,196
took,191
great,185
while,185
gods,183
way,180
’,180
got,179
people,178
make,178
still,174
very,169
like,168
more,164
again,163
jove,163
heaven,162
how,162
before,161
also,160
after,160
set,159
till,158
these,156
nor,155
such,154
answered,154
long,152
two,150
minerva,149
get,148
old,148
both,146
among,145
round,144
hands,144
away,141
even,141
day,140
know,138
though,138
give,136
many,135
than,132
never,130
saw,129
therefore,128
left,126
time,126
put,126
once,126
well,123
first,123
must,122
might,119
another,118
against,118
told,117
wine,116
every,116
water,115
only,115
thus,114
say,113
without,113
brought,112
country,110
through,109
penelope,108
ithaca,107
yet,107
himself,106
gave,104
soon,103
going,103
end,101
heard,101
hand,99
land,96
drink,96
place,96
god,95
find,95
however,95
too,95
“i,94
return,93
whether,93
side,92
nothing,91
those,91
spoke,89
others,89
far,89
wife,88
myself,87
town,86
head,86
mother,86
bed,85
island,85
began,85
mind,84
saying,84
being,84
daughter,83
best,83
each,82
sent,82
room,82
under,82
most,81
cannot,81
done,80
killed,80
young,80
near,80
ever,79
having,79
ground,77
dead,77
whole,77
gone,77
better,77
wind,76
matter,76
night,76
sleep,76
king,75
full,74
heart,74
yourself,74
whom,74
women,73
things,73
think,73
sun,73
city,73
keep,72
ships,72
just,72
eumaeus,72
given,71
woman,71
want,70
hold,70
book,70
bring,69
stranger,69
troy,69
fell,69
death,67
sheep,67
reached,67
enough,67
found,66
laid,65
lay,65
leave,64
eyes,64
right,64
servants,64
speak,64
bow,63
either,63
alcinous,62
same,62
sat,61
achaeans,61
work,61
send,61
name,60
themselves,60
sons,60
greek,59
live,59
eat,59
fire,59
seat,59
morning,59
feet,58
friends,58
husband,58
menelaus,58
court,58
poor,58
look,57
neptune,57
towards,57
swineherd,57
dear,56
else,56
phaeacians,55
whereon,55
looking,55
always,55
stood,55
fair,55
inside,55
stay,54
close,54
board,53
gold,53
indeed,53
goddess,53
kind,52
words,52
ask,52
together,52
“my,52
called,52
servant,51
fast,51
days,51
rest,51
taken,51
kept,50
maids,50
antinous,50
writer,50
last,49
seen,49
its,49
does,48
threw,48
kill,48
making,47
presently,47
neither,47
something,47
child,47
hear,47
everything,47
twelve,46
quite,46
pylos,46
face,46
replied,46
behind,45
used,45
between,45
dinner,45
blood,45
laertes,44
comes,44
getting,44
clothes,44
presents,44
whose,44
cave,44
cloak,44
thought,44
fine,43
drew,43
“the,43
present,43
life,43
because,43
help,43
spear,43
coming,43
meat,43
crew,43
door,43
world,42
turn,42
hard,42
three,42
ill,42
bread,42
cloister,42
line,42
within,42
shore,42
anything,41
lying,41
further,41
longer,41
“you,41
cut,41
strong,40
story,40
show,40
knew,40
euryclea,40
friend,40
held,39
angry,39
already,39
along,39
high,39
lost,39
trouble,39
top,39
alone,39
sword,38
alive,38
wish,38
“odyssey”,38
moment,38
fellow,38
master,38
sail,38
sit,38
bad,38
care,37
outer,37
hope,36
voyage,36
thing,36
nestor,36
doing,36
light,36
raised,36
ready,36
why,36
little,36
herself,36
part,36
goats,36
nevertheless,36
silver,35
word,35
supper,35
body,35
talk,35
reach,35
ulysses’,35
able,35
true,34
cattle,34
calypso,34
brave,34
moreover,34
horses,34
lie,34
immortal,33
pigs,33
father’s,33
armour,33
covered,33
excellent,33
shirt,33
wash,33
stand,33
carried,33
circe,33
eating,32
agamemnon,32
years,32
bound,32
“and,32
tears,32
fear,32
filled,32
rock,32
outside,32
straight,31
earth,31
means,31
year,31
marry,31
point,31
authoress,31
dawn,31
sure,31
person,31
surely,31
meanwhile,31
noble,31
caught,31
wicked,31
large,31
hades,30
suppose,30
bronze,30
places,30
taking,30
itself,30
front,30
clean,29
fighting,29
children,29
thick,29
cried,29
sorrow,29
try,29
golden,29
evil,29
foot,29
dark,29
course,29
looked,29
wept,28
chief,28
since,28
man’s,28
fight,28
twenty,28
waves,28
sitting,28
turned,28
property,28
led,28
mercury,28
river,28
wanted,28
glad,28
harbour,28
weeping,28
table,27
aegisthus,27
none,27
killing,27
gathered,27
bearing,27
apollo,27
piece,27
due,27
open,27
mean,27
store,27
rocks,27
appeared,27
winds,27
above,26
makes,26
beautiful,26
shoulders,26
flew,26
arms,26
rather,26
call,26
sacrifice,26
asked,26
estate,26
offerings,26
translation,26
washed,26
string,26
lines,25
guest,25
giving,25
leaving,25
trying,25
happened,25
spite,25
pisistratus,25
escape,25
hide,25
mountain,25
seeing,25
truth,25
jove’s,24
wood,24
mischief,24
die,24
melanthius,24
single,24
“then,24
seats,24
struck,24
four,24
assembly,24
news,24
pieces,24
helen,24
bard,24
middle,24
strength,24
sailed,24
eurymachus,24
talking,24
ghost,24
ghosts,24
sir,24
nine,23
prayed,23
followed,23
age,23
spears,23
seem,23
passage,23
listen,23
“il,23
doors,23
case,23
drove,23
offering,23
knees,23
draw,23
sing,23
deep,23
run,23
bear,23
cup,23
mast,23
iron,23
lives,23
west,23
stone,22
number,22
question,22
queen,22
wall,22
“when,22
during,22
bones,22
drive,22
born,22
answer,22
grant,22
note,22
bade,22
times,22
half,22
“iliad”,22
save,22
poured,22
comrades,22
raft,22
built,21
stayed,21
“stranger,21
throw,21
absence,21
met,21
sound,21
blessed,21
break,21
peace,21
bore,21
wait,21
sweet,21
scylla,21
carry,21
hit,21
argives,21
oxen,21
rose,21
harm,21
offered,21
fingered,21
pray,21
arrow,21
rosy,21
manner,21
fat,21
beside,21
suffered,21
cloisters,20
hardly,20
sails,20
lies,20
argos,20
throughout,20
passed,20
whatever,20
rich,20
sight,20
meal,20
singing,20
mixing,20
“telemachus,20
married,20
fit,20
darkness,20
plain,20
fetch,20
clear,20
beginning,19
fly,19
offer,19
thinking,19
“what,19
seems,19
crying,19
“if,19
marriage,19
barley,19
deal,19
public,19
safe,19
mouth,19
bowl,19
become,19
hung,19
returned,19
voice,18
fallen,18
waiting,18
distress,18
nurse,18
hair,18
account,18
shed,18
questions,18
atreus,18
perished,18
oil,18
believe,18
goes,18
handed,18
regards,18
living,18
mortal,18
force,18
family,18
safely,18
ran,18
destruction,18
cf,18
dogs,18
neck,18
really,18
upstairs,18
need,18
revenge,18
beauty,18
chariot,18
mighty,18
understand,18
probably,18
odyssean,18
cyclopes,18
honour,18
inner,18
trojans,18
visit,18
cunning,18
afraid,18
maid,18
feast,17
likely,17
black,17
second,17
“father,17
oars,17
ten,17
remember,17
islands,17
heavy,17
whereas,17
guests,17
escort,17
until,17
mixed,17
eaten,17
truly,17
lived,17
bringing,17
“thus,17
love,17
form,17
nausicaa,17
ship’s,17
bitterly,17
ought,17
cruel,17
poem,17
vulcan,17
pay,16
third,16
leaves,16
banquet,16
mars,16
tried,16
pleasure,16
unhappy,16
standing,16
converse,16
mankind,16
speaking,16
pleased,16
mistress,16
fill,16
exclaimed,16
forward,16
girl,16
main,16
paying,16
teiresias,16
north,16
cry,16
placed,16
rags,16
free,16
disposed,16
mentor,16
beyond,16
sprang,16
broke,16
hearts,16
sorry,16
strangers,16
certain,16
trees,16
threshold,16
arrows,16
use,16
wrong,16
drunk,16
upper,15
o,15
oath,15
respect,15
running,15
wild,15
cloaks,15
meats,15
“we,15
olive,15
lord,15
“do,15
understanding,15
war,15
venus,15
past,15
praying,15
immediately,15
often,15
washing,15
charybdis,15
bk,15
reader,15
worse,15
“it,15
oceanus,15
six,15
wise,15
vessel,15
heifer,15
skin,15
thigh,15
prayer,15
groaning,15
foreign,15
parents,15
counsel,15
except,15
south,15
eye,15
waters,15
tramp,15
begging,15
meant,14
presence,14
plan,14
wave,14
grown,14
fate,14
rate,14
grief,14
hut,14
known,14
boar,14
sorrows,14
knows,14
gives,14
shoot,14
eurynome,14
achilles,14
insolence,14
fleet,14
white,14
minds,14
begin,14
elsewhere,14
field,14
diana,14
sacked,14
philoetius,14
nymphs,14
flocks,14
“but,14
yard,14
fond,14
embrace,14
doubt,14
sign,14
fact,14
bid,14
slept,14
became,14
says,14
blow,14
post,14
shoulder,14
kissed,13
pass,13
horse,13
cross,13
arete,13
received,13
autolycus,13
stream,13
valiant,13
lyre,13
money,13
sandals,13
pity,13
hospitality,13
cyclops,13
handle,13
thence,13
minded,13
immortals,13
fall,13
wear,13
beat,13
stockman,13
daughters,13
books,13
grew,13
heads,13
treated,13
irus,13
dream,13
spoken,13
posts,13
chest,13
instead,13
lest,13
possible,13
forced,13
sense,13
grow,13
dolius,13
trapani,13
forget,13
coast,13
demodocus,13
kinds,13
double,13
sicily,13
beach,13
roof,13
e,13
desire,13
mine,13
hidden,13
plenty,13
lose,13
etc,13
“as,13
“sir,13
bath,13
beggar,13
unless,13
road,13
eurylochus,13
feasting,13
tree,13
hither,13
smoke,13
battle,12
air,12
crete,12
mt,12
tale,12
insolent,12
olympus,12
heed,12
sad,12
sirens,12
odyssey”,12
luck,12
ourselves,12
tables,12
waggon,12
lacedaemon,12
wives,12
vi,12
choose,12
foremost,12
later,12
mules,12
speech,12
learn,12
pair,12
happen,12
grieve,12
salt,12
evidently,12
low,12
cold,12
abundance,12
reason,12
welcome,12
neleus,12
wedding,12
next,12
huge,12
stronger,12
asleep,12
abode,12
“now,12
wealth,12
picked,12
perhaps,12
creature,12
paid,12
please,12
race,12
journey,12
ways,12
dressed,12
floor,12
driving,12
“on,12
yards,12
charge,12
keeping,12
escaped,12
warm,12
hero,12
beg,12
deemed,12
spread,12
benches,12
early,12
“that,12
grey,12
drinking,12
drawn,11
terrible,11
birds,11
written,11
difficulty,11
hardship,11
completed,11
remain,11
furious,11
treasure,11
brother,11
particularly,11
xiii,11
consider,11
odyssey,11
thrown,11
carrying,11
council,11
ii,11
shouted,11
belly,11
iv,11
small,11
medon,11
master’s,11
thereon,11
staff,11
driven,11
theoclymenus,11
stop,11
staid,11
egypt,11
forth,11
deed,11
ears,11
linen,11
courage,11
mainland,11
shield,11
business,11
“ulysses,11
gates,11
exactly,11
polybus,11
east,11
meet,11
worked,11
lion,11
following,11
noise,11
gate,11
lovely,11
expect,11
prayers,11
anointed,11
‘ulysses,11
food,11
short,11
plot,11
labour,11
heroes,11
setting,11
fed,11
treat,11
orders,11
companions,11
closed,11
changed,11
saved,11
bowls,11
soft,11
borne,11
hecatombs,11
row,11
loaded,10
danaans,10
telemachus’s,10
seemed,10
beneath,10
“hear,10
stones,10
morrow,10
misfortunes,10
achaean,10
icarius,10
“od,10
fury,10
cover,10
hurried,10
heavens,10
around,10
dulichium,10
died,10
cups,10
endowed,10
footstool,10
hearth,10
rule,10
clouds,10
finished,10
savage,10
turning,10
wand,10
sang,10
ate,10
doorway,10
laughing,10
human,10
cooked,10
loosed,10
circe’s,10
deeds,10
perish,10
ox,10
lands,10
orestes,10
five,10
proserpine,10
dropped,10
feed,10
holding,10
axes,10
according,10
drank,10
sheer,10
“this,10
lit,10
corn,10
famous,10
gatehouse,10
opposite,10
tall,10
besides,10
hospitably,10
aeolus,10
speed,10
seas,10
heavily,10
fancy,10
share,10
flesh,10
pp,10
furthermore,10
worn,10
station,10
attend,10
easily,10
spare,10
seals,10
anger,10
dust,10
iliadic,10
text,10
different,10
monster,10
fountain,10
wherever,10
reasonable,10
sending,10
ashamed,10
folly,10
p,10
mountains,10
asking,10
trial,10
seven,10
phaeacian,10
shown,10
ocean,10
couch,10
forest,10
growing,10
scar,10
new,10
spits,10
women’s,10
sailors,10
waited,10
wallet,9
quick,9
amphinomus,9
substance,9
mercy,9
hearing,9
hence,9
alike,9
wooded,9
song,9
frightened,9
wretch,9
prophet,9
happy,9
scheria,9
tear,9
older,9
gifts,9
torches,9
proper,9
enjoy,9
treating,9
dwell,9
usual,9
sometimes,9
xv,9
letting,9
scheme,9
company,9
v,9
beautifully,9
cause,9
ere,9
ram,9
wandering,9
dry,9
less,9
favour,9
megapenthes,9
suppliant,9
shirts,9
divine,9
distant,9
generally,9
helmet,9
peleus,9
couple,9
months,9
waste,9
portion,9
cows,9
quarter,9
homeward,9
younger,9
easy,9
silence,9
change,9
eagle,9
raiment,9
“there,9
miserable,9
putting,9
aloud,9
wooing,9
“may,9
breeding,9
‘my,9
quarrel,9
suffering,9
displeased,9
dress,9
delighted,9
gale,9
looks,9
travelled,9
turns,9
brothers,9
phemius,9
daybreak,9
‘i,9
finding,9
bottom,9
prevent,9
contest,9
dancing,9
councillors,9
takes,9
rage,9
few,9
served,9
flying,9
troubles,9
farm,9
showed,9
working,9
burnt,9
‘you,9
throwing,9
“so,9
meantime,9
respected,9
sparta,9
eight,9
greatly,9
broken,9
shut,9
fifty,9
goodly,8
skill,8
admired,8
follow,8
houses,8
inward,8
burning,8
cloud,8
suppliants,8
mortals,8
message,8
dare,8
bethought,8
disgrace,8
muse,8
narrow,8
feared,8
wore,8
avenge,8
nymph,8
mother’s,8
entrance,8
remained,8
lashed,8
win,8
ends,8
complain,8
joy,8
returning,8
“antinous,8
apart,8
fresh,8
saturn,8
loom,8
voices,8
“take,8
idea,8
idomeneus,8
shields,8
veil,8
quantity,8
quiet,8
shelter,8
prove,8
danger,8
hanging,8
divided,8
xii,8
taller,8
order,8
grapes,8
edition,8
chance,8
original,8
dance,8
wheat,8
meeting,8
satisfied,8
rites,8
honoured,8
basket,8
memory,8
loss,8
added,8
kindly,8
attention,8
herds,8
woke,8
lotus,8
sort,8
host,8
yoke,8
figure,8
“old,8
purpose,8
smote,8
grieving,8
polyphemus,8
chiefs,8
summer,8
laodamas,8
skilled,8
staying,8
swear,8
losing,8
dozen,8
doubted,8
seized,8
landed,8
hate,8
wanting,8
crossed,8
sailing,8
laughed,8
persuade,8
drop,8
sky,8
provisions,8
yours,8
lot,8
entered,8
catch,8
mark,8
madam,8
telling,8
green,8
cheeks,8
common,8
milked,8
page,8
ones,8
somewhere,8
hid,8
“good,8
stretched,8
rising,8
tongue,8
service,8
cease,8
cooking,8
ashes,8
ewes,8
milk,8
piteously,8
hercules,8
brackets,8
sleeping,8
thither,8
breath,8
lambs,8
suspect,8
girded,8
press,8
nearly,8
late,8
wants,8
heat,8
blue,8
yonder,8
fish,8
hole,8
agelaus,8
prize,8
cicons,8
evening,8
agreed,8
hawsers,8
yield,8
stern,8
sorts,7
sufficient,7
plotting,7
rugs,7
joined,7
lair,7
goods,7
level,7
astonished,7
managed,7
mourned,7
unable,7
serious,7
omen,7
ruin,7
mix,7
happiness,7
cook,7
finest,7
fool,7
solemn,7
fleece,7
heart’s,7
busy,7
month,7
power,7
eryx,7
“go,7
sees,7
weep,7
haste,7
manage,7
whoever,7
steeds,7
soil,7
promised,7
assented,7
quickly,7
midst,7
suffer,7
people’s,7
directly,7
enemies,7
finish,7
ajax,7
moon,7
hearted,7
suggests,7
twisted,7
palace,7
ivory,7
everlasting,7
marvelled,7
mantle,7
dreadful,7
protect,7
murder,7
law,7
aegis,7
loved,7
fragrant,7
prepare,7
bent,7
prowess,7
spring,7
axe,7
pure,7
grace,7
lifted,7
heaven’s,7
burned,7
perfectly,7
swore,7
plainly,7
sudden,7
handsome,7
slumber,7
pain,7
chose,7
rain,7
“to,7
protection,7
cities,7
oar,7
“for,7
feasted,7
sacrificed,7
bitter,7
ewer,7
rise,7
especially,7
prophecy,7
rejoiced,7
“alas,7
dismay,7
passages,7
settled,7
fail,7
“iliad,7
marked,7
urge,7
map,7
reasonably,7
wet,7
neighbour,7
gladly,7
accomplished,7
garden,7
works,7
fetched,7
enclosed,7
mr,7
attack,7
syracuse,7
approved,7
hot,7
paunch,7
compare,7
quit,7
blew,7
grows,7
blame,7
necessary,7
prizes,7
nights,7
afterwards,7
magnificent,7
longing,7
mid,7
join,7
consult,7
chains,7
“madam,7
swim,7
dying,7
cast,7
pavement,7
rudder,7
tore,7
whence,7
ix,7
parts,7
tenth,7
tired,7
ogygian,7
gateway,7
wide,7
oak,7
begins,7
settle,7
bird,7
felt,7
piraeus,7
counsels,7
livelong,7
keel,7
“odyssey,7
“let,7
thrice,7
taste,7
disguised,7
breast,7
funeral,7
xxiv,7
“eumaeus,7
intended,7
pretty,7
plant,7
kings,7
loose,7
altar,7
xi,7
bind,7
leading,7
‘we,7
beam,7
xvii,7
firewood,7
sufficiently,7
parnassus,7
ago,6
runs,6
ashore,6
fourth,6
continually,6
persist,6
“aldermen,6
smiled,6
meadow,6
trench,6
vouchsafe,6
theban,6
fig,6
start,6
whenever,6
male,6
entertained,6
hereafter,6
thoroughly,6
appearance,6
186,6
fault,6
gear,6
recognised,6
hyperion,6
ear,6
yourselves,6
everybody,6
grove,6
flung,6
needlework,6
judgement,6
pall,6
juno,6
birth,6
neighbours,6
walls,6
guard,6
highest,6
aside,6
tripod,6
wool,6
quiver,6
satisfaction,6
deceive,6
limb,6
“nurse,6
conversation,6
numbers,6
brains,6
“in,6
“he,6
sake,6
begged,6
certainly,6
fought,6
feeding,6
boy,6
amongst,6
tells,6
dragged,6
snatched,6
bravest,6
trust,6
hurt,6
adventures,6
started,6
virtue,6
worth,6
jars,6
length,6
burden,6
archer,6
stick,6
continue,6
“‘you,6
checked,6
cauldron,6
amber,6
senses,6
rushed,6
splendid,6
ambrosia,6
pig,6
wickedness,6
ambuscade,6
egyptians,6
robbed,6
sports,6
earlier,6
crowd,6
fishes,6
camped,6
antiphates,6
euryalus,6
flock,6
rowing,6
fierce,6
shame,6
pick,6
seer,6
smell,6
signs,6
youth,6
conduct,6
task,6
aeaean,6
eupeithes,6
lead,6
distance,6
beggars,6
lately,6
hunting,6
facing,6
woollen,6
broad,6
torn,6
imagine,6
wits,6
“listen,6
goat,6
lips,6
won,6
knowing,6
bit,6
horns,6
feel,6
comely,6
wrought,6
scolded,6
holes,6
touched,6
actually,6
smooth,6
support,6
build,6
thankful,6
deck,6
fitted,6
omens,6
respectable,6
swam,6
reaches,6
hurricane,6
1,6
victims,6
storm,6
described,6
meaning,6
loud,6
sensible,6
doomed,6
touch,6
mentioned,6
opened,6
comfortable,6
real,6
heap,6
beds,6
vineyard,6
2,6
sacrificing,6
“why,6
travel,6
pressed,6
sacrifices,6
dealt,6
points,6
hounds,6
otherwise,6
seated,6
rejoicing,6
patroclus,6
refuse,6
men’s,6
possibly,6
basin,6
priam,6
dog,6
strung,6
quietly,6
sharp,6
sucking,6
inlaid,6
brooding,6
tomorrow,6
forthwith,6
precious,6
venture,6
ball,6
moved,6
rough,6
rebuked,6
amid,6
redoubtable,6
bury,6
toil,6
antilochus,6
bodies,6
dirty,6
purple,6
iii,6
preface,6
charmed,6
shooting,6
surrounded,6
proud,6
spoil,5
amphimedon,5
helped,5
prose,5
“‘my,5
impossible,5
vultures,5
direction,5
ease,5
advantage,5
drawing,5
season,5
add,5
“meanwhile,5
insulted,5
mad,5
lang,5
aimed,5
across,5
inland,5
expecting,5
athens,5
duty,5
references,5
xxiii,5
maidens,5
herb,5
drugged,5
wrecked,5
shabby,5
excuse,5
stationed,5
followers,5
borrowing,5
remembered,5
“your,5
heaped,5
“sit,5
kids,5
anxious,5
shift,5
equitably,5
armed,5
captain,5
weight,5
noman,5
thebes,5
barren,5
openly,5
weather,5
merely,5
“here,5
recognise,5
drug,5
reigned,5
somebody,5
counselled,5
pointed,5
roasted,5
upwards,5
odysseus,5
allowed,5
geese,5
whirlpool,5
thrinacian,5
beseech,5
horn,5
pale,5
dreams,5
fled,5
carefully,5
wherein,5
hermione,5
suggested,5
play,5
“some,5
weary,5
soul,5
ended,5
stratagem,5
“menelaus,5
bull,5
securely,5
portions,5
several,5
valour,5
thighs,5
raw,5
admirable,5
fastened,5
proofs,5
woman’s,5
hateful,5
heartily,5
rafters,5
minos,5
“son,5
strike,5
yoked,5
uproar,5
“after,5
hanged,5
explain,5
illustrations,5
buried,5
least,5
misery,5
creatures,5
slave,5
143,5
root,5
doom,5
keen,5
141,5
cyprus,5
honey,5
libya,5
wolves,5
‘and,5
straits,5
sell,5
thesprotians,5
deadly,5
effect,5
secret,5
fully,5
iphitus,5
blankets,5
onward,5
watches,5
swords,5
puzzled,5
courtyard,5
afflictions,5
ethiopians,5
promise,5
hundred,5
blade,5
bred,5
hecatomb,5
unseemly,5
bulls,5
explained,5
merry,5
wailing,5
limbs,5
liked,5
masters,5
goatherd,5
tramps,5
doubtless,5
aloft,5
obey,5
blind,5
reaching,5
renown,5
pride,5
disc,5
brine,5
utmost,5
plough,5
δ’,5
vision,5
behaving,5
inspired,5
leather,5
infinite,5
native,5
flower,5
stands,5
prevented,5
becomes,5
prisoner,5
violence,5
horizon,5
future,5
disposition,5
“come,5
matters,5
fortune,5
exceedingly,5
roused,5
fellows,5
s,5
blank,5
butler,5
zacynthus,5
fare,5
possessions,5
sits,5
nausithous,5
almost,5
space,5
tossed,5
stuck,5
cost,5
powerful,5
pear,5
nation,5
alas,5
glory,5
gets,5
serve,5
fruit,5
approach,5
failed,5
precincts,5
prosper,5
excel,5
sick,5
resolved,5
applauded,5
mist,5
unfortunate,5
fathers,5
attempt,5
wishes,5
web,5
neritum,5
rejoice,5
halitherses,5
peg,5
fiercely,5
nostrils,5
art,5
watching,5
anywhere,5
decorated,5
taught,5
inasmuch,5
grass,5
playing,5
lamenting,5
lawful,5
proof,5
barrow,5
outright,5
elis,5
stout,5
shod,5
anoint,5
79,5
137,5
“she,5
badly,5
red,5
roughly,5
supporting,5
check,5
courts,5
distaff,5
attended,5
wondering,5
corpses,5
handmaids,5
thunderbolts,5
yesterday,5
king’s,5
187,5
likeness,5
missing,5
notice,5
opinion,5
masts,5
“eurymachus,5
larger,5
advice,5
156,5
thunder,5
keeps,5
dancers,5
witness,5
hellas,5
trap,5
wreck,5
provide,5
observe,5
sport,5
foolish,5
sturdy,5
countries,5
“king,5
ruled,5
plate,5
lastly,5
wake,5
breaking,5
firm,5
henceforward,5
thinks,5
rays,4
covering,4
beast,4
boars,4
hound,4
lid,4
victory,4
overcome,4
eyelids,4
mares,4
position,4
extreme,4
festivities,4
housekeeper,4
greater,4
invite,4
teeth,4
sand,4
courting,4
mule,4
bedroom,4
drifted,4
sceptre,4
wanderers,4
cupbearer,4
wax,4
determined,4
“by,4
whip,4
dinners,4
panic,4
samos,4
rugged,4
agony,4
eleven,4
sharpened,4
wasting,4
eager,4
fray,4
beard,4
fixed,4
pitied,4
talons,4
blowing,4
protected,4
risen,4
ὄ,4
surprised,4
compassion,4
although,4
dismayed,4
hurry,4
grieved,4
bargain,4
comrade,4
chamber,4
spray,4
bidden,4
corner,4
orion,4
pleases,4
ortygia,4
favognana,4
lightning,4
kills,4
guide,4
expected,4
girdle,4
fertile,4
messenger,4
clad,4
advise,4
hill,4
sank,4
calm,4
prey,4
beheld,4
shows,4
harbours,4
holy,4
dine,4
headlands,4
